Date,Nifty_50,IT,Bank,FMCG,Auto,Pharma,Metal,Realty
2021-01-04,14132.900390625,25110.05078125,31212.0859375,34619.69921875,9417.9501953125,13149.7998046875,3424.60009765625,317.45001220703125
2021-01-05,14199.5,25769.150390625,31721.880859375,34720.25,9416.0498046875,13166.349609375,3376.25,316.3500061035156
2021-01-06,14146.25,25419.150390625,31797.53125,34327.3515625,9379.5498046875,13118.099609375,3419.800048828125,318.6000061035156
2021-01-07,14137.349609375,25251.19921875,31955.62890625,34032.3515625,9429.650390625,13060.75,3550.449951171875,322.8999938964844
2021-01-08,14347.25,26162.400390625,32083.826171875,34276.75,9741.25,13271.5498046875,3529.199951171875,327.5
2021-01-11,14484.75,27027.75,31998.529296875,34681.25,9995.599609375,13412.349609375,3493.89990234375,329.54998779296875
2021-01-12,14563.4501953125,26982.099609375,32338.625,34488.6484375,10119.849609375,13244.7001953125,3509.89990234375,338.6499938964844
2021-01-13,14564.849609375,27004.30078125,32574.271484375,34617.6015625,10208.5498046875,13122.5498046875,3523.25,337.6000061035156
2021-01-14,14595.599609375,26965.55078125,32519.37109375,34885.69921875,10238.2998046875,13232.5498046875,3487.39990234375,337.3999938964844
2021-01-15,14433.7001953125,26362.80078125,32246.42578125,34630.05078125,10178.2998046875,13014.25,3449.14990234375,331.25
2021-01-18,14281.2998046875,25916.25,31811.380859375,34502.8515625,9961.099609375,12653.5,3308.5,324.54998779296875
2021-01-19,14521.150390625,26043.5,32424.47265625,34659.8515625,10136.7998046875,12866.0498046875,3405.199951171875,338.1499938964844
2021-01-20,14644.7001953125,26619.69921875,32543.3203125,34605.3515625,10369.25,12881.2001953125,3437.0,338.3999938964844
2021-01-21,14590.349609375,26450.150390625,32186.525390625,34494.3984375,10367.75,12697.150390625,3362.14990234375,329.75
2021-01-25,14238.900390625,26023.30078125,31198.037109375,34178.6015625,10433.5,12756.75,3236.35009765625,317.8999938964844
2021-01-27,13967.5,25865.30078125,30284.19921875,34281.3984375,10210.25,12495.900390625,3154.800048828125,311.0
2021-01-28,13817.5498046875,25301.25,30357.947265625,33625.8515625,10105.599609375,12395.9501953125,3138.10009765625,304.1499938964844
2021-01-29,13634.599609375,24645.75,30565.14453125,33121.05078125,9813.150390625,12170.25,3077.449951171875,305.6499938964844
2021-02-01,14281.2001953125,24922.69921875,33088.66796875,33689.6484375,10227.9501953125,12103.5498046875,3227.25,324.95001220703125
2021-02-02,14647.849609375,25447.80078125,34267.5,33730.8515625,10638.599609375,12361.5498046875,3289.10009765625,337.25
2021-02-03,14789.9501953125,25680.900390625,34758.046875,33682.3515625,10749.150390625,12706.650390625,3344.39990234375,335.79998779296875
2021-02-04,14895.650390625,25570.05078125,35344.390625,34507.6484375,10867.099609375,12739.0498046875,3409.550048828125,339.0
2021-02-05,14924.25,25331.599609375,35654.0859375,34644.5,10723.9501953125,12950.650390625,3443.14990234375,341.29998779296875
2021-02-08,15115.7998046875,25915.599609375,35983.23046875,34452.25,11061.150390625,12971.0,3552.449951171875,348.1499938964844
2021-02-09,15109.2998046875,25779.150390625,36056.08203125,34231.30078125,10907.599609375,12812.7998046875,3513.64990234375,345.79998779296875
2021-02-10,15106.5,25885.30078125,35782.6875,34188.0,11010.849609375,12905.5498046875,3510.85009765625,351.45001220703125
2021-02-11,15173.2998046875,26043.44921875,35751.6875,34463.75,10965.25,12929.7998046875,3546.699951171875,350.54998779296875
2021-02-12,15163.2998046875,26093.80078125,36108.48046875,33928.30078125,10912.25,12785.75,3486.25,350.6000061035156
2021-02-16,15313.4501953125,25613.94921875,37097.96875,33724.5,10944.900390625,12804.150390625,3570.14990234375,356.79998779296875
2021-02-18,15118.9501953125,25618.55078125,36586.57421875,33373.8984375,10827.0,12517.5,3623.050048828125,352.6499938964844
2021-02-19,14981.75,25503.19921875,35841.18359375,33336.80078125,10540.349609375,12347.400390625,3552.10009765625,348.04998779296875
2021-02-22,14675.7001953125,24766.44921875,35256.7890625,32891.69921875,10300.0,12032.2998046875,3609.10009765625,338.29998779296875
